Empresa,Escenario,Enterprise_Value_M,WACC,Terminal_Value_M,PV_FCF_5Y_M,Revenue_CAGR_%,Avg_EBITDA_Margin_%
Microsoft,Conservador,2072889.357099717,0.08693807633587786,2422482.3419578825,476140.52752529056,6.0239872000000005,51.012
Microsoft,Base,2336896.9146726015,0.08693807633587786,2755177.3265632177,520856.3618633613,8.605696000000002,51.480000000000004
Microsoft,Optimista,2627995.2751853336,0.08693807633587786,3123867.34504464,568937.3243585769,11.187404800000003,51.94800000000001
Apple,Conservador,2102684.7016407857,0.0856548850174216,2436239.1871277015,487355.77506511426,3.6708672000000004,35.861
Apple,Base,2274246.1986664985,0.0856548850174216,2650099.150508209,517119.1321913396,5.244096,36.19
Apple,Optimista,2457268.162858102,0.0856548850174216,2879024.7658059206,548353.7963598669,6.8173248000000015,36.519
NVIDIA,Conservador,1238268.2083637416,0.15814818181818183,1645810.9251624676,448391.52784350305,27.719753599999997,60.0
NVIDIA,Base,1832514.77380847,0.15814818181818183,2547104.370098906,610078.8827636279,39.599648,60.0
NVIDIA,Optimista,2639246.3300028765,0.15814818181818183,3799791.00194368,815606.5318956529,51.4795424,60.0
Amazon,Conservador,1053860.0045706504,0.10736080597014926,1232045.6581423103,313946.3148523186,5.553363200000002,15.369
Amazon,Base,1175362.1913832645,0.10736080597014926,1389105.6396045499,341125.0245901931,7.933376000000002,15.509999999999998
Amazon,Optimista,1308256.472801709,0.10736080597014926,1561991.1171640467,370191.71589104214,10.313388800000004,15.651000000000002
Alphabet,Conservador,1343609.9894227837,0.10683730841121496,1574497.3801403483,395796.26189069625,6.0710496,31.501
Alphabet,Base,1511809.2496613488,0.10683730841121496,1792282.8827930503,432893.3102898827,8.672928,31.790000000000003
Alphabet,Optimista,1697073.8608615461,0.10683730841121496,2033792.3045981708,472774.41802891437,11.274806400000003,32.079
Meta,Conservador,687384.7282898616,0.11582666666666669,816364.9486077913,215429.64455627272,8.5653568,41.85600000000001
Meta,Base,804550.8191921652,0.11582666666666669,971555.1465164194,242877.5242914932,12.236224000000002,42.24
Meta,Optimista,937720.265884181,0.11582666666666669,1149627.8193846394,273099.99441682955,15.9070912,42.62400000000001
Tesla,Conservador,252666.6233826027,0.1675849719626168,329791.65507317596,100682.86511579204,22.21345280000001,21.037000000000003
Tesla,Base,352907.8861458835,0.1675849719626168,481386.72330064955,131061.8743941786,31.733504000000007,21.23
Tesla,Optimista,483762.2708993309,0.1675849719626168,684084.0332572592,168503.65005373437,41.253555200000015,21.423000000000005
Salesforce,Conservador,149079.05554124634,0.09746913475177305,176038.02882582464,38507.11741748814,8.282982400000002,25.506
Salesforce,Base,174253.40390374628,0.09746913475177305,208477.5598645094,43305.74445035349,11.832832,25.740000000000002
Salesforce,Optimista,202819.70734766166,0.09746913475177305,245560.98623425857,48579.43121750609,15.382681600000003,25.974000000000004
Adobe,Conservador,137806.8781390686,0.0905366086956522,160923.4418276723,33474.749834166854,5.6945504,42.61900000000001
Adobe,Base,154401.25150976272,0.0905366086956522,181914.14337471582,36460.13906840902,8.135072000000001,43.010000000000005
Adobe,Optimista,172610.9222351699,0.0905366086956522,205066.80227220897,39659.15534062825,10.575593600000003,43.401
Netflix,Conservador,126153.8797927799,0.09013344785276073,145858.01507064,31414.18659237871,3.153180800000001,27.032
Netflix,Base,135116.02348115997,0.09013344785276073,157058.78058250397,33101.05584561922,4.504544000000001,27.280000000000005
Netflix,Optimista,144602.01339214182,0.09013344785276073,168953.023095525,34861.33465331316,5.855907200000001,27.528000000000002
Palantir,Conservador,38961.928383273036,0.18801619047619048,63941.71543467045,11942.72833674413,20.7545184,111.50000000000003
Palantir,Base,61123.877500667935,0.18801619047619048,101987.05876311536,18028.24385766486,29.649312,126.50000000000001
Palantir,Optimista,92629.86686577355,0.18801619047619048,156854.71245077997,26349.367114739067,38.54410560000001,141.50000000000003
Snowflake,Conservador,64837.84702221173,0.16251698039215687,100739.89718554053,17391.260032024307,18.4484608,110.9
Snowflake,Base,98981.26375650786,0.16251698039215687,155757.5534356607,25622.400833977787,26.354944000000003,125.89999999999999
Snowflake,Optimista,146440.12096639146,0.16251698039215687,233121.98908970907,36644.07149952744,34.26142720000001,140.9
Zoom,Conservador,7728.034066214443,0.11582881481481479,8554.669778222073,2782.4750547111566,-3.8120544000000005,23.108
Zoom,Base,7237.1202459661745,0.11582881481481479,7921.097964627377,2657.8368328658157,-5.445792000000002,23.32
Zoom,Optimista,6769.370581375089,0.11582881481481479,7321.568225270062,2536.6826280657,-7.079529600000001,23.532000000000004
ServiceNow,Conservador,54153.17604628038,0.10381565217391306,64897.7244618951,14548.475972549548,11.577350400000002,34.008
ServiceNow,Base,66578.24409524165,0.10381565217391306,81225.94323089933,17009.03120620599,16.539072000000004,34.32
ServiceNow,Optimista,81246.22847843055,0.10381565217391306,100692.91500605721,19797.036978563985,21.500793600000005,34.632000000000005
Datadog,Conservador,1321.6694124395542,0.12700314285714284,1622.4741457688478,429.2846434827724,14.7775936,13.952
Datadog,Base,1693.5301680694624,0.12700314285714284,2134.6899703464333,519.4191223250333,21.110848000000004,14.08
Datadog,Optimista,2147.1947401654975,0.12700314285714284,2768.7624889025706,624.3344342561685,27.444102400000002,14.208000000000002
