Sector,Market_Size_2024_B,Market_Size_2030_B,CAGR_2024_2030_%,Leading_Region,Investment_2024_B,Top_3_Players,Growth_Factor,Investment_Efficiency,Potential_Category
Inteligencia Artificial,184.0,826,28.1,Norte América,67.2,"Microsoft, NVIDIA, Google",4.489130434782608,12.291666666666666,Alto Crecimiento
Cloud Computing,591.0,1266,13.4,Norte América,45.8,"Microsoft, Amazon, Google",2.1421319796954315,27.641921397379914,Crecimiento
Semiconductores,574.0,1380,15.8,Asia-Pacífico,99.2,"TSMC, NVIDIA, Samsung",2.4041811846689893,13.911290322580644,Crecimiento
E-commerce,6206.0,8148,4.6,Asia-Pacífico,24.1,"Amazon, Alibaba, Shopify",1.3129229777634548,338.0912863070539,Maduro
FinTech,332.0,882,17.8,Norte América,31.7,"PayPal, Square, Adyen",2.6566265060240966,27.823343848580443,Crecimiento
Streaming Media,185.0,247,4.9,Norte América,12.4,"Netflix, Disney, Spotify",1.335135135135135,19.919354838709676,Maduro
Cybersecurity,173.0,424,16.3,Norte América,29.5,"CrowdStrike, Palo Alto, Fortinet",2.4508670520231215,14.372881355932204,Crecimiento
IoT,1387.0,3352,15.8,Asia-Pacífico,15.8,"Amazon, Microsoft, Google",2.4167267483777937,212.1518987341772,Crecimiento
Blockchain,17.0,163,45.3,Norte América,4.1,"Coinbase, Binance, Ethereum",9.588235294117647,39.75609756097561,Alto Crecimiento
Quantum Computing,1.3,64,87.2,Norte América,2.4,"IBM, Google, IonQ",49.230769230769226,26.666666666666668,Emergente
AR/VR,51.0,209,26.8,Norte América,6.7,"Meta, Apple, Microsoft",4.098039215686274,31.19402985074627,Alto Crecimiento
Robotics,38.0,218,34.2,Asia-Pacífico,7.3,"Tesla, Boston Dynamics, ABB",5.7368421052631575,29.863013698630137,Alto Crecimiento
